site,country,lat,lon,hazard,indicator,label,scenario,year,value,model,error
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2090,141.3,mean_degree_days/above/32c,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2090,141.3,mean_degree_days/above/32c,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2090,382.0,mean_degree_days/above/32c,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2090,572.8,mean_degree_days/above/32c,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2090,420.3,mean_degree_days/above/32c,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2090,0.5606,mean_degree_days/above/32c,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2090,169.0,mean_degree_days/above/32c,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2090,226.5,mean_degree_days/above/32c,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2030,17.85,mean_degree_days/above/32c,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2030,17.85,mean_degree_days/above/32c,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2030,18.27,mean_degree_days/above/32c,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2030,6.737,mean_degree_days/above/32c,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2030,15.22,mean_degree_days/above/32c,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2030,47.35,mean_degree_days/above/32c,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2030,30.15,mean_degree_days/above/32c,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2030,30.15,mean_degree_days/above/32c,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2030,114.0,mean_degree_days/above/32c,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2030,208.1,mean_degree_days/above/32c,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2030,124.8,mean_degree_days/above/32c,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2030,0.0,mean_degree_days/above/32c,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2030,41.97,mean_degree_days/above/32c,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2030,25.81,mean_degree_days/above/32c,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2050,53.61,mean_degree_days/above/32c,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2050,53.61,mean_degree_days/above/32c,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2050,52.21,mean_degree_days/above/32c,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2050,20.5,mean_degree_days/above/32c,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2050,35.9,mean_degree_days/above/32c,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2050,91.6,mean_degree_days/above/32c,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2050,60.93,mean_degree_days/above/32c,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2050,60.93,mean_degree_days/above/32c,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2050,181.6,mean_degree_days/above/32c,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2050,299.3,mean_degree_days/above/32c,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2050,245.7,mean_degree_days/above/32c,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2050,0.1659,mean_degree_days/above/32c,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2050,85.59,mean_degree_days/above/32c,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2050,94.34,mean_degree_days/above/32c,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2090,150.5,mean_degree_days/above/32c,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2090,150.5,mean_degree_days/above/32c,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2090,144.9,mean_degree_days/above/32c,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2090,55.43,mean_degree_days/above/32c,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2090,89.73,mean_degree_days/above/32c,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2090,207.8,mean_degree_days/above/32c,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2090,143.8,mean_degree_days/above/32c,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2090,143.8,mean_degree_days/above/32c,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2090,339.8,mean_degree_days/above/32c,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2090,510.5,mean_degree_days/above/32c,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2090,550.0,mean_degree_days/above/32c,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2090,0.8294,mean_degree_days/above/32c,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp585,2090,219.4,mean_degree_days/above/32c,
