site,ssp,period,variable,ens_mean
Gunsan_Plant,ssp370,far,etccdi_wbgt,15.37
Gunsan_Plant,ssp370,far,etccdi_wsdi,85.6
Gunsan_Plant,ssp370,mid,etccdi_cdd,37.6
Gunsan_Plant,ssp370,mid,etccdi_cwd,6.2
Gunsan_Plant,ssp370,mid,etccdi_fd,4.5
Gunsan_Plant,ssp370,mid,etccdi_r95p,451.54
Gunsan_Plant,ssp370,mid,etccdi_rx1day,39.89
Gunsan_Plant,ssp370,mid,etccdi_rx5day,66.56
Gunsan_Plant,ssp370,mid,etccdi_sdii,13.88
Gunsan_Plant,ssp370,mid,etccdi_su,0.2
Gunsan_Plant,ssp370,mid,etccdi_tnn,8.36
Gunsan_Plant,ssp370,mid,etccdi_tr,30.5
Gunsan_Plant,ssp370,mid,etccdi_txx,18.47
Gunsan_Plant,ssp370,mid,etccdi_wbgt,13.43
Gunsan_Plant,ssp370,mid,etccdi_wsdi,41.2
Gunsan_Plant,ssp370,near,etccdi_cdd,35.3
Gunsan_Plant,ssp370,near,etccdi_cwd,5.0
Gunsan_Plant,ssp370,near,etccdi_fd,3.8
Gunsan_Plant,ssp370,near,etccdi_r95p,324.45
Gunsan_Plant,ssp370,near,etccdi_rx1day,36.22
Gunsan_Plant,ssp370,near,etccdi_rx5day,59.52
Gunsan_Plant,ssp370,near,etccdi_sdii,13.08
Gunsan_Plant,ssp370,near,etccdi_su,0.1
Gunsan_Plant,ssp370,near,etccdi_tnn,7.71
Gunsan_Plant,ssp370,near,etccdi_tr,14.8
Gunsan_Plant,ssp370,near,etccdi_txx,17.95
Gunsan_Plant,ssp370,near,etccdi_wbgt,12.88
Gunsan_Plant,ssp370,near,etccdi_wsdi,19.1
Gunsan_Plant,ssp585,baseline,etccdi_cdd,29.4
Gunsan_Plant,ssp585,baseline,etccdi_cwd,5.7
Gunsan_Plant,ssp585,baseline,etccdi_fd,9.1
Gunsan_Plant,ssp585,baseline,etccdi_r95p,279.49
Gunsan_Plant,ssp585,baseline,etccdi_rx1day,32.29
Gunsan_Plant,ssp585,baseline,etccdi_rx5day,52.35
Gunsan_Plant,ssp585,baseline,etccdi_sdii,11.72
Gunsan_Plant,ssp585,baseline,etccdi_su,0.1
Gunsan_Plant,ssp585,baseline,etccdi_tnn,7.05
Gunsan_Plant,ssp585,baseline,etccdi_tr,13.5
Gunsan_Plant,ssp585,baseline,etccdi_txx,17.35
Gunsan_Plant,ssp585,baseline,etccdi_wbgt,12.22
Gunsan_Plant,ssp585,baseline,etccdi_wsdi,10.3
Gunsan_Plant,ssp585,end,etccdi_cdd,32.1
Gunsan_Plant,ssp585,end,etccdi_cwd,6.0
Gunsan_Plant,ssp585,end,etccdi_fd,0.0
Gunsan_Plant,ssp585,end,etccdi_r95p,572.34
Gunsan_Plant,ssp585,end,etccdi_rx1day,48.82
Gunsan_Plant,ssp585,end,etccdi_rx5day,76.62
Gunsan_Plant,ssp585,end,etccdi_sdii,16.04
Gunsan_Plant,ssp585,end,etccdi_su,86.0
Gunsan_Plant,ssp585,end,etccdi_tnn,12.46
Gunsan_Plant,ssp585,end,etccdi_tr,129.7
Gunsan_Plant,ssp585,end,etccdi_txx,22.33
Gunsan_Plant,ssp585,end,etccdi_wbgt,17.12
Gunsan_Plant,ssp585,end,etccdi_wsdi,119.1
Gunsan_Plant,ssp585,far,etccdi_cdd,34.4
Gunsan_Plant,ssp585,far,etccdi_cwd,6.0
Gunsan_Plant,ssp585,far,etccdi_fd,0.0
Gunsan_Plant,ssp585,far,etccdi_r95p,578.2
Gunsan_Plant,ssp585,far,etccdi_rx1day,47.91
Gunsan_Plant,ssp585,far,etccdi_rx5day,72.73
Gunsan_Plant,ssp585,far,etccdi_sdii,15.26
Gunsan_Plant,ssp585,far,etccdi_su,66.9
Gunsan_Plant,ssp585,far,etccdi_tnn,11.76
Gunsan_Plant,ssp585,far,etccdi_tr,115.0
Gunsan_Plant,ssp585,far,etccdi_txx,21.67
Gunsan_Plant,ssp585,far,etccdi_wbgt,16.34
Gunsan_Plant,ssp585,far,etccdi_wsdi,105.2
Gunsan_Plant,ssp585,mid,etccdi_cdd,31.4
Gunsan_Plant,ssp585,mid,etccdi_cwd,5.7
Gunsan_Plant,ssp585,mid,etccdi_fd,1.0
Gunsan_Plant,ssp585,mid,etccdi_r95p,460.28
Gunsan_Plant,ssp585,mid,etccdi_rx1day,43.25
Gunsan_Plant,ssp585,mid,etccdi_rx5day,69.35
Gunsan_Plant,ssp585,mid,etccdi_sdii,13.95
Gunsan_Plant,ssp585,mid,etccdi_su,6.2
Gunsan_Plant,ssp585,mid,etccdi_tnn,9.27
Gunsan_Plant,ssp585,mid,etccdi_tr,59.9
Gunsan_Plant,ssp585,mid,etccdi_txx,19.43
Gunsan_Plant,ssp585,mid,etccdi_wbgt,14.21
Gunsan_Plant,ssp585,mid,etccdi_wsdi,57.5
Gunsan_Plant,ssp585,near,etccdi_cdd,36.0
Gunsan_Plant,ssp585,near,etccdi_cwd,5.7
Gunsan_Plant,ssp585,near,etccdi_fd,5.3
Gunsan_Plant,ssp585,near,etccdi_r95p,190.65
Gunsan_Plant,ssp585,near,etccdi_rx1day,30.78
Gunsan_Plant,ssp585,near,etccdi_rx5day,47.9
Gunsan_Plant,ssp585,near,etccdi_sdii,11.47
Gunsan_Plant,ssp585,near,etccdi_su,1.0
Gunsan_Plant,ssp585,near,etccdi_tnn,7.63
Gunsan_Plant,ssp585,near,etccdi_tr,21.2
Gunsan_Plant,ssp585,near,etccdi_txx,17.89
Gunsan_Plant,ssp585,near,etccdi_wbgt,12.64
Gunsan_Plant,ssp585,near,etccdi_wsdi,18.2
Gwangyang_Plant,ssp126,baseline,etccdi_cdd,25.1
Gwangyang_Plant,ssp126,baseline,etccdi_cwd,7.3
Gwangyang_Plant,ssp126,baseline,etccdi_fd,0.5
Gwangyang_Plant,ssp126,baseline,etccdi_r95p,592.25
Gwangyang_Plant,ssp126,baseline,etccdi_rx1day,55.0
Gwangyang_Plant,ssp126,baseline,etccdi_rx5day,88.01
Gwangyang_Plant,ssp126,baseline,etccdi_sdii,17.85
Gwangyang_Plant,ssp126,baseline,etccdi_su,0.0
Gwangyang_Plant,ssp126,baseline,etccdi_tnn,10.43
Gwangyang_Plant,ssp126,baseline,etccdi_tr,69.1
Gwangyang_Plant,ssp126,baseline,etccdi_txx,18.82
Gwangyang_Plant,ssp126,baseline,etccdi_wbgt,14.01
Gwangyang_Plant,ssp126,baseline,etccdi_wsdi,6.8
Gwangyang_Plant,ssp126,end,etccdi_cdd,38.9
Gwangyang_Plant,ssp126,end,etccdi_cwd,8.0
Gwangyang_Plant,ssp126,end,etccdi_fd,0.3
Gwangyang_Plant,ssp126,end,etccdi_r95p,675.75
Gwangyang_Plant,ssp126,end,etccdi_rx1day,54.58
Gwangyang_Plant,ssp126,end,etccdi_rx5day,96.09
Gwangyang_Plant,ssp126,end,etccdi_sdii,18.93
Gwangyang_Plant,ssp126,end,etccdi_su,5.3
Gwangyang_Plant,ssp126,end,etccdi_tnn,11.93
Gwangyang_Plant,ssp126,end,etccdi_tr,111.5
Gwangyang_Plant,ssp126,end,etccdi_txx,20.33
Gwangyang_Plant,ssp126,end,etccdi_wbgt,15.34
Gwangyang_Plant,ssp126,end,etccdi_wsdi,51.7
Gwangyang_Plant,ssp126,far,etccdi_cdd,25.4
Gwangyang_Plant,ssp126,far,etccdi_cwd,8.4
Gwangyang_Plant,ssp126,far,etccdi_fd,0.0
Gwangyang_Plant,ssp126,far,etccdi_r95p,608.84
Gwangyang_Plant,ssp126,far,etccdi_rx1day,59.49
Gwangyang_Plant,ssp126,far,etccdi_rx5day,93.75
Gwangyang_Plant,ssp126,far,etccdi_sdii,17.82
Gwangyang_Plant,ssp126,far,etccdi_su,3.0
Gwangyang_Plant,ssp126,far,etccdi_tnn,11.94
Gwangyang_Plant,ssp126,far,etccdi_tr,108.6
Gwangyang_Plant,ssp126,far,etccdi_txx,20.19
Gwangyang_Plant,ssp126,far,etccdi_wbgt,15.47
Gwangyang_Plant,ssp126,far,etccdi_wsdi,56.8
Gwangyang_Plant,ssp126,mid,etccdi_cdd,28.7
Gwangyang_Plant,ssp126,mid,etccdi_cwd,6.5
Gwangyang_Plant,ssp126,mid,etccdi_fd,0.0
Gwangyang_Plant,ssp126,mid,etccdi_r95p,568.81
Gwangyang_Plant,ssp126,mid,etccdi_rx1day,54.25
Gwangyang_Plant,ssp126,mid,etccdi_rx5day,86.81
Gwangyang_Plant,ssp126,mid,etccdi_sdii,16.74
Gwangyang_Plant,ssp126,mid,etccdi_su,2.9
Gwangyang_Plant,ssp126,mid,etccdi_tnn,11.64
Gwangyang_Plant,ssp126,mid,etccdi_tr,104.0
Gwangyang_Plant,ssp126,mid,etccdi_txx,20.05
Gwangyang_Plant,ssp126,mid,etccdi_wbgt,15.2
Gwangyang_Plant,ssp126,mid,etccdi_wsdi,47.9
Gwangyang_Plant,ssp126,near,etccdi_cdd,25.0
Gwangyang_Plant,ssp126,near,etccdi_cwd,5.6
Gwangyang_Plant,ssp126,near,etccdi_fd,0.0
Gwangyang_Plant,ssp126,near,etccdi_r95p,465.07
Gwangyang_Plant,ssp126,near,etccdi_rx1day,50.76
Gwangyang_Plant,ssp126,near,etccdi_rx5day,81.15
Gwangyang_Plant,ssp126,near,etccdi_sdii,16.61
Gwangyang_Plant,ssp126,near,etccdi_su,0.7
Gwangyang_Plant,ssp126,near,etccdi_tnn,11.11
Gwangyang_Plant,ssp126,near,etccdi_tr,89.4
Gwangyang_Plant,ssp126,near,etccdi_txx,19.66
Gwangyang_Plant,ssp126,near,etccdi_wbgt,14.68
Gwangyang_Plant,ssp126,near,etccdi_wsdi,32.3
Gwangyang_Plant,ssp245,baseline,etccdi_cdd,25.2
Gwangyang_Plant,ssp245,baseline,etccdi_cwd,7.1
Gwangyang_Plant,ssp245,baseline,etccdi_fd,0.4
Gwangyang_Plant,ssp245,baseline,etccdi_r95p,393.52
Gwangyang_Plant,ssp245,baseline,etccdi_rx1day,49.05
Gwangyang_Plant,ssp245,baseline,etccdi_rx5day,78.13
Gwangyang_Plant,ssp245,baseline,etccdi_sdii,16.21
Gwangyang_Plant,ssp245,baseline,etccdi_su,0.1
Gwangyang_Plant,ssp245,baseline,etccdi_tnn,10.07
Gwangyang_Plant,ssp245,baseline,etccdi_tr,67.3
Gwangyang_Plant,ssp245,baseline,etccdi_txx,18.74
Gwangyang_Plant,ssp245,baseline,etccdi_wbgt,13.88
Gwangyang_Plant,ssp245,baseline,etccdi_wsdi,13.6
Gwangyang_Plant,ssp245,end,etccdi_cdd,31.7
Gwangyang_Plant,ssp245,end,etccdi_cwd,6.6
Gwangyang_Plant,ssp245,end,etccdi_fd,0.0
Gwangyang_Plant,ssp245,end,etccdi_r95p,576.85
Gwangyang_Plant,ssp245,end,etccdi_rx1day,55.09
Gwangyang_Plant,ssp245,end,etccdi_rx5day,85.26
Gwangyang_Plant,ssp245,end,etccdi_sdii,17.72
Gwangyang_Plant,ssp245,end,etccdi_su,10.0
Gwangyang_Plant,ssp245,end,etccdi_tnn,12.75
Gwangyang_Plant,ssp245,end,etccdi_tr,124.2
Gwangyang_Plant,ssp245,end,etccdi_txx,20.86
Gwangyang_Plant,ssp245,end,etccdi_wbgt,15.94
Gwangyang_Plant,ssp245,end,etccdi_wsdi,73.7
Gwangyang_Plant,ssp245,far,etccdi_cdd,28.6
Gwangyang_Plant,ssp245,far,etccdi_cwd,7.2
Gwangyang_Plant,ssp245,far,etccdi_fd,0.0
Gwangyang_Plant,ssp245,far,etccdi_r95p,706.17
Gwangyang_Plant,ssp245,far,etccdi_rx1day,60.13
Gwangyang_Plant,ssp245,far,etccdi_rx5day,104.22
Gwangyang_Plant,ssp245,far,etccdi_sdii,18.42
Gwangyang_Plant,ssp245,far,etccdi_su,14.1
