site,country,ssp,variable,period,ens_mean,ens_median,ens_p10,ens_p90,lat,lon
Iksan_Plant,KOR,ssp370,prsn,baseline,0.4184,0.4184,0.4184,0.4184,35.9333,127.0167
Iksan_Plant,KOR,ssp370,sfcWind,baseline,4.2325,4.2325,4.2325,4.2325,35.9333,127.0167
Iksan_Plant,KOR,ssp370,tas,baseline,12.5979,12.6579,10.4947,14.2706,35.9333,127.0167
Iksan_Plant,KOR,ssp370,tasmax,baseline,27.7041,27.6395,25.7872,29.5042,35.9333,127.0167
Iksan_Plant,KOR,ssp370,tasmin,baseline,9.3358,9.7583,6.5357,12.3955,35.9333,127.0167
Iksan_Plant,KOR,ssp585,evspsbl,baseline,28.9916,28.9916,28.9916,28.9916,35.9333,127.0167
Iksan_Plant,KOR,ssp585,pr,baseline,42.1049,40.2628,35.1781,50.6101,35.9333,127.0167
Iksan_Plant,KOR,ssp585,prsn,baseline,0.3701,0.3701,0.3701,0.3701,35.9333,127.0167
Iksan_Plant,KOR,ssp585,sfcWind,baseline,4.3203,4.3203,4.3203,4.3203,35.9333,127.0167
Iksan_Plant,KOR,ssp585,tas,baseline,12.8533,12.822,10.7243,14.5585,35.9333,127.0167
Iksan_Plant,KOR,ssp585,tasmax,baseline,28.1007,28.2122,26.1782,29.6771,35.9333,127.0167
Iksan_Plant,KOR,ssp585,tasmin,baseline,9.6575,10.1648,6.7178,12.619,35.9333,127.0167
Jianyang_Carbon,CHN,ssp126,evspsbl,baseline,32.5629,32.5629,32.5629,32.5629,26.7587,104.4734
Jianyang_Carbon,CHN,ssp126,pr,baseline,47.8932,41.4468,33.6023,73.1852,26.7587,104.4734
Jianyang_Carbon,CHN,ssp126,prsn,baseline,2.1638,2.1638,2.1638,2.1638,26.7587,104.4734
Jianyang_Carbon,CHN,ssp126,sfcWind,baseline,1.181,1.181,1.181,1.181,26.7587,104.4734
Jianyang_Carbon,CHN,ssp126,tas,baseline,13.0294,13.2762,11.3032,14.761,26.7587,104.4734
Jianyang_Carbon,CHN,ssp126,tasmax,baseline,26.0076,25.758,23.6742,29.3141,26.7587,104.4734
Jianyang_Carbon,CHN,ssp126,tasmin,baseline,8.3908,8.402,5.3689,11.0139,26.7587,104.4734
Jianyang_Carbon,CHN,ssp245,evspsbl,baseline,32.5614,32.5614,32.5614,32.5614,26.7587,104.4734
Jianyang_Carbon,CHN,ssp245,pr,baseline,48.5633,40.5487,34.7584,71.0608,26.7587,104.4734
Jianyang_Carbon,CHN,ssp245,prsn,baseline,1.8314,1.8314,1.8314,1.8314,26.7587,104.4734
Jianyang_Carbon,CHN,ssp245,sfcWind,baseline,1.1865,1.1865,1.1865,1.1865,26.7587,104.4734
Jianyang_Carbon,CHN,ssp245,tas,baseline,13.0657,13.3522,11.3735,14.8297,26.7587,104.4734
Jianyang_Carbon,CHN,ssp245,tasmax,baseline,26.1337,25.8614,23.6202,29.8528,26.7587,104.4734
Jianyang_Carbon,CHN,ssp245,tasmin,baseline,8.3955,8.3823,5.4172,11.09,26.7587,104.4734
Jianyang_Carbon,CHN,ssp370,evspsbl,baseline,31.7234,31.7234,31.7234,31.7234,26.7587,104.4734
Jianyang_Carbon,CHN,ssp370,pr,baseline,48.7511,41.2584,34.5255,74.5847,26.7587,104.4734
Jianyang_Carbon,CHN,ssp370,prsn,baseline,2.5373,2.5373,2.5373,2.5373,26.7587,104.4734
Jianyang_Carbon,CHN,ssp370,sfcWind,baseline,1.2124,1.2124,1.2124,1.2124,26.7587,104.4734
Jianyang_Carbon,CHN,ssp370,tas,baseline,12.8619,13.0812,11.3371,14.5313,26.7587,104.4734
Jianyang_Carbon,CHN,ssp370,tasmax,baseline,26.0977,24.8638,23.8568,29.5074,26.7587,104.4734
Jianyang_Carbon,CHN,ssp370,tasmin,baseline,7.8891,8.1657,5.0387,10.893,26.7587,104.4734
Jianyang_Carbon,CHN,ssp585,evspsbl,baseline,31.815,31.815,31.815,31.815,26.7587,104.4734
Jianyang_Carbon,CHN,ssp585,pr,baseline,48.8938,43.6622,33.3108,70.1177,26.7587,104.4734
Jianyang_Carbon,CHN,ssp585,prsn,baseline,2.1626,2.1626,2.1626,2.1626,26.7587,104.4734
Jianyang_Carbon,CHN,ssp585,sfcWind,baseline,1.1782,1.1782,1.1782,1.1782,26.7587,104.4734
Jianyang_Carbon,CHN,ssp585,tas,baseline,13.1611,13.3972,11.4788,14.7334,26.7587,104.4734
Jianyang_Carbon,CHN,ssp585,tasmax,baseline,26.2546,26.0514,23.7861,29.6251,26.7587,104.4734
Jianyang_Carbon,CHN,ssp585,tasmin,baseline,8.4833,8.4182,5.3831,11.2171,26.7587,104.4734
MaSteel_OCI,CHN,ssp126,evspsbl,baseline,34.1211,34.1211,34.1211,34.1211,31.6839,118.5127
MaSteel_OCI,CHN,ssp126,pr,baseline,43.8515,46.5852,32.7969,53.0215,31.6839,118.5127
MaSteel_OCI,CHN,ssp126,prsn,baseline,0.7137,0.7137,0.7137,0.7137,31.6839,118.5127
MaSteel_OCI,CHN,ssp126,sfcWind,baseline,2.594,2.594,2.594,2.594,31.6839,118.5127
