Site,Variable,Scenario,2030,2035,2040,2045
Iksan Plant,Pr(mm/d),SSP2-4.5,3.121,3.183,2.983,3.19
Iksan Plant,Wind(m/s),SSP2-4.5,4.288,4.248,4.152,4.164
Iksan Plant,Huss(g/kg),SSP2-4.5,7.839,8.183,8.332,8.327
Iksan Plant,Rsds(W/m2),SSP2-4.5,177.499,169.852,176.538,180.139
Iksan Plant,Tmean(C),SSP3-7.0,12.796,13.334,12.993,12.49
Iksan Plant,Tmax(C),SSP3-7.0,14.199,14.756,14.452,13.912
Iksan Plant,Tmin(C),SSP3-7.0,11.265,11.863,11.439,10.995
Iksan Plant,Pr(mm/d),SSP3-7.0,2.423,2.759,2.622,3.27
Iksan Plant,Wind(m/s),SSP3-7.0,4.085,4.235,4.255,4.277
Iksan Plant,Huss(g/kg),SSP3-7.0,7.925,8.431,8.094,7.974
Iksan Plant,Rsds(W/m2),SSP3-7.0,175.394,169.437,173.456,167.173
Iksan Plant,Tmean(C),SSP5-8.5,13.06,12.745,13.423,14.026
Iksan Plant,Tmax(C),SSP5-8.5,14.47,14.179,14.827,15.457
Iksan Plant,Tmin(C),SSP5-8.5,11.52,11.217,11.931,12.527
Iksan Plant,Pr(mm/d),SSP5-8.5,3.27,1.67,3.702,3.134
Iksan Plant,Wind(m/s),SSP5-8.5,4.421,4.341,4.297,4.179
Iksan Plant,Huss(g/kg),SSP5-8.5,8.223,7.733,8.335,8.578
Iksan Plant,Rsds(W/m2),SSP5-8.5,176.651,182.014,177.713,183.063
Gwangyang Plant,Tmean(C),SSP1-2.6,15.657,15.844,15.093,16.05
Gwangyang Plant,Tmax(C),SSP1-2.6,16.423,16.63,15.837,16.85
Gwangyang Plant,Tmin(C),SSP1-2.6,14.716,14.93,14.204,15.109
Gwangyang Plant,Pr(mm/d),SSP1-2.6,4.078,4.693,4.939,4.894
Gwangyang Plant,Wind(m/s),SSP1-2.6,5.669,5.785,5.689,5.955
Gwangyang Plant,Huss(g/kg),SSP1-2.6,8.822,9.141,8.815,9.396
Gwangyang Plant,Rsds(W/m2),SSP1-2.6,177.293,173.407,173.268,175.024
Gwangyang Plant,Tmean(C),SSP2-4.5,15.185,15.365,15.92,15.721
Gwangyang Plant,Tmax(C),SSP2-4.5,15.978,16.158,16.725,16.474
Gwangyang Plant,Tmin(C),SSP2-4.5,14.226,14.419,14.966,14.794
Gwangyang Plant,Pr(mm/d),SSP2-4.5,4.22,4.819,4.809,5.368
Gwangyang Plant,Wind(m/s),SSP2-4.5,5.91,5.854,5.791,5.767
Gwangyang Plant,Huss(g/kg),SSP2-4.5,8.77,8.952,9.106,9.026
Gwangyang Plant,Rsds(W/m2),SSP2-4.5,169.362,167.11,175.245,174.403
Gwangyang Plant,Tmean(C),SSP3-7.0,15.47,15.903,15.864,15.061
Gwangyang Plant,Tmax(C),SSP3-7.0,16.248,16.698,16.663,15.85
Gwangyang Plant,Tmin(C),SSP3-7.0,14.524,14.967,14.89,14.109
Gwangyang Plant,Pr(mm/d),SSP3-7.0,3.921,4.452,4.599,4.668
Gwangyang Plant,Wind(m/s),SSP3-7.0,5.563,5.857,5.767,5.756
Gwangyang Plant,Huss(g/kg),SSP3-7.0,8.803,9.187,8.993,8.728
Gwangyang Plant,Rsds(W/m2),SSP3-7.0,170.638,164.754,167.019,163.068
Gwangyang Plant,Tmean(C),SSP5-8.5,15.71,15.293,15.95,16.659
Gwangyang Plant,Tmax(C),SSP5-8.5,16.525,16.045,16.724,17.412
Gwangyang Plant,Tmin(C),SSP5-8.5,14.747,14.366,15.032,15.741
Gwangyang Plant,Pr(mm/d),SSP5-8.5,5.361,2.905,4.933,5.155
Gwangyang Plant,Wind(m/s),SSP5-8.5,5.987,5.743,5.811,5.711
Gwangyang Plant,Huss(g/kg),SSP5-8.5,9.194,8.73,9.154,9.49
Gwangyang Plant,Rsds(W/m2),SSP5-8.5,170.223,176.218,173.436,176.233
Saehan Jeongeup,Tmean(C),SSP1-2.6,13.188,13.379,12.577,13.408
Saehan Jeongeup,Tmax(C),SSP1-2.6,14.567,14.712,13.94,14.765
Saehan Jeongeup,Tmin(C),SSP1-2.6,11.717,11.971,11.079,11.958
Saehan Jeongeup,Pr(mm/d),SSP1-2.6,2.723,3.48,3.099,3.702
Saehan Jeongeup,Wind(m/s),SSP1-2.6,4.321,4.245,4.249,4.309
Saehan Jeongeup,Huss(g/kg),SSP1-2.6,8.062,8.351,7.937,8.48
Saehan Jeongeup,Rsds(W/m2),SSP1-2.6,181.377,177.07,181.317,177.947
Saehan Jeongeup,Tmean(C),SSP2-4.5,12.49,12.88,13.303,13.336
Saehan Jeongeup,Tmax(C),SSP2-4.5,13.879,14.261,14.715,14.688
Saehan Jeongeup,Tmin(C),SSP2-4.5,10.966,11.404,11.796,11.839
Saehan Jeongeup,Pr(mm/d),SSP2-4.5,3.121,3.183,2.983,3.19
Saehan Jeongeup,Wind(m/s),SSP2-4.5,4.288,4.248,4.152,4.164
Saehan Jeongeup,Huss(g/kg),SSP2-4.5,7.839,8.183,8.332,8.327
Saehan Jeongeup,Rsds(W/m2),SSP2-4.5,177.499,169.852,176.538,180.139
Saehan Jeongeup,Tmean(C),SSP3-7.0,12.796,13.334,12.993,12.49
Saehan Jeongeup,Tmax(C),SSP3-7.0,14.199,14.756,14.452,13.912
Saehan Jeongeup,Tmin(C),SSP3-7.0,11.265,11.863,11.439,10.995
Saehan Jeongeup,Pr(mm/d),SSP3-7.0,2.423,2.759,2.622,3.27
Saehan Jeongeup,Wind(m/s),SSP3-7.0,4.085,4.235,4.255,4.277
Saehan Jeongeup,Huss(g/kg),SSP3-7.0,7.925,8.431,8.094,7.974
Saehan Jeongeup,Rsds(W/m2),SSP3-7.0,175.394,169.437,173.456,167.173
Saehan Jeongeup,Tmean(C),SSP5-8.5,13.06,12.745,13.423,14.026
Saehan Jeongeup,Tmax(C),SSP5-8.5,14.47,14.179,14.827,15.457
Saehan Jeongeup,Tmin(C),SSP5-8.5,11.52,11.217,11.931,12.527
Saehan Jeongeup,Pr(mm/d),SSP5-8.5,3.27,1.67,3.702,3.134
Saehan Jeongeup,Wind(m/s),SSP5-8.5,4.421,4.341,4.297,4.179
Saehan Jeongeup,Huss(g/kg),SSP5-8.5,8.223,7.733,8.335,8.578
Saehan Jeongeup,Rsds(W/m2),SSP5-8.5,176.651,182.014,177.713,183.063
OCI Shanghai,Tmean(C),SSP1-2.6,16.942,17.127,16.624,17.439
OCI Shanghai,Tmax(C),SSP1-2.6,18.995,19.118,18.641,19.459
OCI Shanghai,Tmin(C),SSP1-2.6,15.005,15.225,14.695,15.491
OCI Shanghai,Pr(mm/d),SSP1-2.6,4.621,5.124,4.764,5.489
