Country,Site,Variable,Unit,Hazard_Key,SSP1-2.6_2020s,SSP1-2.6_2030s,SSP1-2.6_2040s,SSP1-2.6_2050s,SSP1-2.6_2060s,SSP1-2.6_2070s,SSP1-2.6_2080s,SSP1-2.6_2090s,SSP2-4.5_2020s,SSP2-4.5_2030s,SSP2-4.5_2040s,SSP2-4.5_2050s,SSP2-4.5_2060s,SSP2-4.5_2070s,SSP2-4.5_2080s,SSP2-4.5_2090s,SSP3-7.0_2020s,SSP3-7.0_2030s,SSP3-7.0_2040s,SSP3-7.0_2050s,SSP3-7.0_2060s,SSP3-7.0_2070s,SSP3-7.0_2080s,SSP3-7.0_2090s,SSP5-8.5_2020s,SSP5-8.5_2030s,SSP5-8.5_2040s,SSP5-8.5_2050s,SSP5-8.5_2060s,SSP5-8.5_2070s,SSP5-8.5_2080s,SSP5-8.5_2090s
Korea,Pohang Plant,Precipitation,mm/day,Heavy Rain (Pr mm/day),4.024,3.714,3.983,3.458,4.422,3.645,4.124,4.322,3.386,3.696,4.322,4.102,4.146,3.663,3.837,3.597,3.222,4.058,3.761,3.766,3.981,4.066,4.773,4.471,3.781,3.555,4.088,4.141,4.303,4.186,4.5,4.867
Korea,Pohang Plant,Evapotranspiration,mm/day,Drought (Evap mm/day),2.972,3.112,3.217,3.188,3.212,3.202,3.206,3.284,3.052,3.032,3.078,3.202,3.176,3.136,3.252,3.232,2.928,3.026,3.03,2.989,3.119,3.146,3.119,3.26,2.996,3.066,3.095,3.232,3.154,3.298,3.328,3.384
Korea,Pohang Plant,Snowfall Flux,mm/day,Snowfall (Prsn mm/day),0.03,0.026,0.023,0.019,0.014,0.018,0.017,0.016,0.02,0.017,0.015,0.016,0.014,0.012,0.009,0.011,0.038,0.013,0.021,0.015,0.012,0.011,0.004,0.006,0.034,0.017,0.011,0.012,0.013,0.006,0.005,0.003
Korea,Pohang Plant,Near-Surface Wind Speed,m/s,Wind Speed (m/s),4.052,4.051,4.142,4.105,4.13,4.042,4.042,4.119,4.123,4.063,3.979,4.018,3.975,3.99,4.004,4.072,4.004,4.049,4.102,3.974,4.047,3.972,3.894,3.956,4.139,4.135,4.039,4.108,4.021,3.977,3.986,3.981
Korea,Pohang Plant,Sea Surface Height Anomaly,cm,Sea Level (cm),17.966,19.105,17.326,16.065,16.009,15.913,15.429,15.042,18.614,17.401,17.262,17.009,16.143,13.829,13.202,13.073,18.151,18.706,17.533,16.934,15.155,15.108,15.401,14.628,18.357,17.846,17.388,16.473,14.952,16.207,14.965,15.145
Korea,Pohang Plant,Total Runoff,mm/day,Runoff (mrro mm/day),1.743,1.283,1.558,1.015,1.973,1.213,1.616,1.847,1.088,1.399,1.93,1.683,1.703,1.23,1.48,1.096,0.992,1.708,1.541,1.504,1.67,1.709,2.461,2.176,1.481,1.272,1.666,1.78,1.897,1.806,2.098,2.426
Korea,Pohang Plant,Soil Moisture upper layer,kg/m2,Soil Moisture (kg/m2),24.458,23.727,24.025,23.168,23.775,22.704,24.056,23.935,23.796,24.322,24.521,24.18,23.983,23.5,23.684,23.329,23.91,24.844,24.291,24.527,24.38,24.306,25.072,24.553,24.329,22.712,23.468,24.527,24.106,24.246,24.299,24.739
Korea,Pohang Plant,Near-Surface Specific Humidity,g/kg,Spec Humidity (g/kg),8.318,8.681,8.865,9.039,8.935,8.826,9.208,9.081,8.203,8.506,8.884,9.231,9.27,9.404,9.607,9.482,8.257,8.75,8.662,9.111,9.328,9.87,10.341,10.617,8.356,8.587,8.976,9.477,9.809,10.237,10.894,11.504
Korea,Pohang Plant,Surface Downwelling SW Rad,W/m2,Solar Rad (rsds W/m2),171.021,177.749,179.986,182.115,181.976,184.639,181.686,183.472,171.775,170.091,174.541,178.356,179.889,180.305,182.983,182.293,168.542,165.985,164.128,167.916,171.221,172.744,171.962,175.687,168.82,174.241,176.069,176.304,179.965,182.583,183.22,184.61
Korea,Gunsan Plant,Daily Max Temperature,degC,Heat Wave (Tmax C),13.871,14.587,14.771,15.329,15.148,14.955,15.45,15.236,13.553,14.179,14.735,15.491,15.512,15.774,16.225,16.074,13.643,14.434,14.218,15.03,15.628,16.423,17.014,17.455,13.79,14.308,15.229,15.862,16.319,17.176,18.142,18.931
Korea,Gunsan Plant,Daily Min Temperature,degC,Cold Wave (Tmin C),10.948,11.749,11.913,12.457,12.322,12.144,12.592,12.424,10.612,11.337,11.912,12.632,12.675,12.945,13.337,13.208,10.723,11.489,11.314,12.083,12.659,13.509,14.199,14.635,10.884,11.369,12.33,12.989,13.52,14.357,15.326,16.141
