Country,Site,Scenario,Period,CDD (days),CWD (days),FD (days/yr),R95p (mm/yr),Rx1day (mm),Rx5day (mm),SDII (mm/wetday),SU (days/yr),TNn (degC),TR (days/yr),TXx (degC),WBGT (degC),WSDI (days/yr)
China,OCI Shanghai,SSP5-8.5,2080s,26.4,12.6,0.0,715.94,52.13,92.64,14.98,160.0,14.37,165.5,28.57,20.31,69.0
China,OCI Shanghai,SSP5-8.5,2090s,25.8,12.1,0.0,840.04,53.78,98.7,15.97,173.2,15.0,175.5,29.19,21.07,93.1
China,Shandong OCI (ZZ),SSP2-4.5,2020s,31.9,6.6,71.1,180.56,25.12,39.59,9.44,142.0,4.53,88.3,28.04,15.28,7.4
China,Shandong OCI (ZZ),SSP2-4.5,2030s,30.8,6.6,64.6,241.71,27.4,44.76,10.46,148.7,5.1,89.3,27.71,15.55,9.5
China,Shandong OCI (ZZ),SSP2-4.5,2040s,35.8,6.4,55.2,275.43,28.56,46.47,11.0,150.7,5.52,93.9,28.72,16.27,10.4
China,Shandong OCI (ZZ),SSP2-4.5,2050s,41.8,6.0,48.7,388.96,33.15,52.72,12.47,163.8,6.39,104.0,29.91,17.01,14.6
China,Shandong OCI (ZZ),SSP2-4.5,2060s,40.9,6.2,51.1,428.15,33.99,56.5,13.51,162.7,6.13,104.6,29.56,16.86,12.9
China,Shandong OCI (ZZ),SSP2-4.5,2070s,36.4,6.0,46.5,422.62,33.98,56.94,12.83,167.8,6.44,112.8,30.69,17.32,16.5
China,Shandong OCI (ZZ),SSP2-4.5,2080s,39.0,4.9,42.7,305.65,29.11,46.35,11.45,173.4,6.57,115.9,31.52,17.71,23.8
China,Shandong OCI (ZZ),SSP2-4.5,2090s,39.1,5.9,46.1,437.65,34.43,57.35,13.48,169.3,6.83,115.2,30.79,17.52,18.8
China,Shandong OCI (ZZ),SSP5-8.5,2020s,32.8,6.3,65.4,248.64,28.18,46.2,11.56,139.5,4.52,85.5,27.89,15.43,4.1
China,Shandong OCI (ZZ),SSP5-8.5,2030s,37.6,7.7,59.4,238.86,30.79,50.89,11.21,148.6,5.37,93.9,28.28,15.9,8.4
China,Shandong OCI (ZZ),SSP5-8.5,2040s,42.2,5.6,53.5,319.19,30.96,51.41,12.02,165.0,6.07,106.5,29.51,16.63,11.8
China,Shandong OCI (ZZ),SSP5-8.5,2050s,31.7,5.8,49.0,254.43,31.04,51.4,11.82,166.5,6.6,112.6,30.15,17.16,14.9
China,Shandong OCI (ZZ),SSP5-8.5,2060s,34.1,5.5,38.9,348.32,32.44,59.8,12.58,166.8,7.3,119.1,30.95,17.82,29.6
China,Shandong OCI (ZZ),SSP5-8.5,2070s,36.4,6.2,29.4,507.12,42.07,69.59,14.81,172.0,7.87,125.4,31.45,18.46,31.4
China,Shandong OCI (ZZ),SSP5-8.5,2080s,37.5,6.3,27.0,305.19,33.43,56.73,12.18,180.3,8.99,139.6,32.56,19.24,52.7
China,Shandong OCI (ZZ),SSP5-8.5,2090s,35.8,6.4,19.9,436.79,41.48,67.51,14.7,191.3,9.74,145.2,33.15,20.09,50.1
Japan,OCI Japan Tokyo,SSP2-4.5,2020s,19.7,10.7,8.9,529.65,49.41,81.55,13.58,47.6,6.64,52.2,21.49,13.97,5.1
Japan,OCI Japan Tokyo,SSP2-4.5,2030s,20.8,11.8,5.0,464.07,46.31,80.45,13.21,53.9,7.05,56.6,21.96,14.44,8.9
Japan,OCI Japan Tokyo,SSP2-4.5,2040s,17.6,8.7,2.9,477.02,45.44,76.72,13.43,69.3,7.89,70.0,22.84,15.14,13.8
Japan,OCI Japan Tokyo,SSP2-4.5,2050s,20.8,9.4,0.5,637.84,49.77,79.35,13.88,80.4,8.42,76.1,23.38,15.79,28.7
